#,Date,"Full Range, μS/cm (LGR S/N: 10104851_10662795_duplicate_duplicate_21113608, SEN S/N: 10104851)","Temp, °C (LGR S/N: 10104851_10662795_duplicate_duplicate_21113608, SEN S/N: 10104851)",Specific_Conductance
6740,4/20/2022 21:30,13.4,13.92,412.4
6741,4/20/2022 21:45,13.4,13.58,416
6742,4/20/2022 22:00,3,13.28,93.8
6743,4/20/2022 22:15,13.4,12.98,422.4
6744,4/20/2022 22:30,3,12.73,95.2
6745,4/20/2022 22:45,13.4,12.47,427.9
6746,4/20/2022 23:00,1.1,12.22,35.4
6747,4/20/2022 23:15,3,11.97,97.1
6748,4/20/2022 23:30,13.4,11.73,436.2
6749,4/20/2022 23:45,13.4,11.56,438.2
6750,4/21/2022 0:00,13.4,11.37,440.4
6751,4/21/2022 0:15,3.1,11.2,102.3
6752,4/21/2022 0:30,1.1,11.02,36.5
6753,4/21/2022 0:45,3.1,10.81,103.4
6754,4/21/2022 1:00,3.1,10.61,103.9
6755,4/21/2022 1:15,13.5,10.43,454.8
6756,4/21/2022 1:30,3.1,10.25,105
6757,4/21/2022 1:45,3.1,10.06,105.5
6758,4/21/2022 2:00,3.1,9.85,106.1
6759,4/21/2022 2:15,13.5,9.64,464.6
6760,4/21/2022 2:30,1.1,9.43,38.1
6761,4/21/2022 2:45,3.1,9.24,107.9
6762,4/21/2022 3:00,13.5,9.08,471.8
6763,4/21/2022 3:15,3.8,8.94,133.3
6764,4/21/2022 3:30,3.1,8.8,109.2
6765,4/21/2022 3:45,3.1,8.68,109.5
6766,4/21/2022 4:00,3.1,8.55,109.9
6767,4/21/2022 4:15,3.1,8.43,110.3
6768,4/21/2022 4:30,13.5,8.33,481.7
6769,4/21/2022 4:45,3.1,8.22,110.9
6770,4/21/2022 5:00,3.1,8.09,111.3
6771,4/21/2022 5:15,1.1,7.99,39.6
6772,4/21/2022 5:30,3.1,7.89,112
6773,4/21/2022 5:45,13.5,7.78,489.1
